symbol,strategy_rule_stack,edge_score,win_pct,sharpe,total_return,total_trades,config_hash,run_date,config_details
"JUBLFOOD","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.2408,0.3000,0.1520,319.9712,10,"106974d3","2025-07-25","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-25T23:47:30.399262'}"
"MOTHERSON","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.3818,0.5000,0.2045,509.3808,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"MOTHERSON","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.3818,0.5000,0.2045,509.3808,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"NAUKRI","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.1881,0.4167,-0.1548,-605.2855,12,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"NAUKRI","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.1881,0.4167,-0.1548,-605.2855,12,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"NESTLEIND","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.3747,0.5455,0.1184,163.3187,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"NESTLEIND","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.3747,0.5455,0.1184,163.3187,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"PERSISTENT","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.5154,0.5455,0.4704,1501.8114,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"PERSISTENT","strong_bullish_engulfing + confirm_with_medium_term_uptrend + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.5020,0.6000,0.3550,1185.2374,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"PERSISTENT","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.3960,0.5000,0.2399,603.1547,12,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"POLICYBZR","strong_bullish_engulfing + confirm_with_medium_term_uptrend + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4272,0.5000,0.3179,1127.4721,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"POLICYBZR","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4272,0.5000,0.3179,1127.4721,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"POLICYBZR","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4272,0.5000,0.3179,1127.4721,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"POWERGRID","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.9877,0.8182,1.2419,4059.8451,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"POWERGRID","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.9877,0.8182,1.2419,4059.8451,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"POWERGRID","strong_bullish_engulfing + confirm_with_medium_term_uptrend + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.9632,0.8000,1.2080,4211.1066,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"SBILIFE","strong_bullish_engulfing + confirm_with_medium_term_uptrend + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4807,0.6000,0.3016,626.0519,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"SBILIFE","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4807,0.6000,0.3016,626.0519,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"SBILIFE","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.4807,0.6000,0.3016,626.0519,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"TCS","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",-0.1465,0.2727,-0.7753,-1492.0328,11,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"TCS","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",-0.2312,0.2500,-0.9531,-1665.6794,12,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"TITAN","strong_bullish_engulfing + confirm_with_rsi_recovering + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.0668,0.4000,-0.4330,-737.4248,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
"TITAN","strong_bullish_engulfing + filter_market_is_bullish + atr_stop_loss_2x + trend_reversal_exit + atr_take_profit_4x",0.0668,0.4000,-0.4330,-737.4248,10,"106974d3","2025-07-26","{'rules_hash': 'fc04e5b4a18b2961', 'universe_path': 'data/nifty_large_mid_big.csv', 'hold_period': 20, 'edge_score_threshold': 0.5, 'min_trades_threshold': 10, 'freeze_date': None, 'timestamp': '2025-07-26T00:07:04.069099'}"
